Position,Track Name,Artist,Streams,URL,Year,Month,Track ID
93,Sopra,Gazzelle,403397,https://open.spotify.com/track/3Cbaa4ZmODhKEGSkMsbkOO,2018,12,5d5hgQCHyzkPrxWejb69St
94,ORA CHE FAI?,Salmo,402212,https://open.spotify.com/track/3ibnXjXTxiQQVJsoCffeo3,2018,12,3ibnXjXTxiQQVJsoCffeo3
95,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,401243,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee,2018,12,6s2wpWPFPAgKg2LXxi1Oee
96,Borsello (feat. Sfera Ebbasta & DrefGold),Guè Pequeno,398925,https://open.spotify.com/track/31wSmTMwl9CIr1RQds2Tvy,2018,12,31wSmTMwl9CIr1RQds2Tvy
97,Keanu Reeves (feat. Achille Lauro),Gemitaiz,398830,https://open.spotify.com/track/1MGXWglFoINJdrcp2W0U0w,2018,12,1MGXWglFoINJdrcp2W0U0w
98,La musica non c'è,Coez,395508,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x,2018,12,7MMJa7cjMadOSR6CFWvB1x
99,Moonlight,XXXTENTACION,394387,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2018,12,0JP9xo3adEtGSdUEISiszL
100,Non Abbiamo Età,Luche,391525,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3,2018,12,0NwuXciw6eQc4edjwSBnV3
101,"Bella Giornata (prod. Dogslife, Mago del blocco) (feat. Dogslife & Mago del Blocco)",OG Eastbull,388354,https://open.spotify.com/track/76xea5TfeyVu8c4dGWpFD2,2018,12,76xea5TfeyVu8c4dGWpFD2
102,Sogni appesi,Ultimo,387279,https://open.spotify.com/track/2HgBmx6tfhRO417ahshpeQ,2018,12,2HgBmx6tfhRO417ahshpeQ
103,RATATA,Capo Plaza,386498,https://open.spotify.com/track/3QjM7blH1a157YfP8G33TA,2018,12,3HG3QFERdP3Q1b6VGahwWs
104,Ti dedico il silenzio,Ultimo,384337,https://open.spotify.com/track/6GLmGfALwjzCaOiHwgfU7g,2018,12,6GLmGfALwjzCaOiHwgfU7g
105,Rockstar,Sfera Ebbasta,384267,https://open.spotify.com/track/3js3wKPw8VxBWtcXtwyUnA,2018,12,7ytR5pFWmSjzHJIeQkgog4
106,Jingle Bell Rock,The Vamps,376195,https://open.spotify.com/track/2gO3wgR2G9pCJFWGcWX3W7,2018,12,7vQbuQcyTflfCIOu3Uzzya
108,Another One Bites The Dust - Remastered 2011,Queen,372876,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2018,12,57JVGBtBLCfHw2muk5416J
109,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,372649,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2018,12,3KkXRkHbMCARz0aVfEt68P
110,Se Piovesse Il Tuo Nome - con Calcutta,Elisa,369710,https://open.spotify.com/track/40SslAHt15Duy4uldwXNAm,2018,12,3PYYiqmhooCNCGiiPTM5zS
111,Holly Jolly Christmas,Michael Bublé,367452,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,2018,12,5PuKlCjfEVIXl0ZBp5ZW9g
112,Without Me,Halsey,367255,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018,12,7lQ8MOhq6IN2w8EYcFNSUk
113,L'altra dimensione,Måneskin,365132,https://open.spotify.com/track/36ONZ2CvV8KsLPapNPGTqa,2018,12,36ONZ2CvV8KsLPapNPGTqa
114,Mwaka Moon - Remix,Kalash,362988,https://open.spotify.com/track/1OGORI9Hx45AEYqxkndMhN,2018,12,1OGORI9Hx45AEYqxkndMhN
115,Thunderclouds,Sia,357671,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,2018,12,4lJNen4SMTIJMahALc3DcB
116,Amore e Capoeira,Takagi & Ketra,356242,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk,2018,12,5Vwqy3CS2aCB6jcgm1qWfk
117,SAD!,XXXTENTACION,355509,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2018,12,3ee8Jmje8o58CHK66QrVC2
118,BEBE,6ix9ine,354909,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2018,12,7D7EH7MGyNHWSkqrszerI1
119,Ricchi x Sempre,Sfera Ebbasta,349592,https://open.spotify.com/track/0kHTkvGavvk2MjBTSUtOZx,2018,12,0n5UZOp6iaDveYqGNCHQMh
120,Fumo bianco,Chadia Rodriguez,344066,https://open.spotify.com/track/54ivBWjaiBH5W2fAVYV1k3,2018,12,54ivBWjaiBH5W2fAVYV1k3
121,Veleno 6,MadMan,343628,https://open.spotify.com/track/7GfXjqXD9aBvDoBdZ7EwPH,2018,12,7GfXjqXD9aBvDoBdZ7EwPH
122,Universale,Benji & Fede,333746,https://open.spotify.com/track/3A20rdsGLvHVAxrkGtrUTu,2018,12,48nZLOpJOINkICPWpUuhaN
123,Christmas Lights,Coldplay,333552,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL,2018,12,4fzyvSu73BhGvi96p2zwjL
124,Do They Know It's Christmas? - 1984 Version,Band Aid,331136,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf,2018,12,0247StOpd3AkeBQzANX4Zf
125,Sweet but Psycho,Ava Max,329952,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2018,12,7DnAm9FOTWE3cUvso43HhI
127,Sempre In Due,Carl Brave x Franco126,324209,https://open.spotify.com/track/6ElWuGFrYbsf2mdHWUoGCk,2018,12,6ElWuGFrYbsf2mdHWUoGCk
128,scuol4,tha Supreme,323600,https://open.spotify.com/track/6ukVfkwkTlQvfvD477n0qr,2018,12,1V7hvLe3fpZTMoqKLkBDgW
129,Serpenti A Sonagli,Sfera Ebbasta,323221,https://open.spotify.com/track/5Z0Mx6SeUAFA2rgZB9t1Nu,2018,12,58QylZ1gN0HbU0LxGQ8Eqm
131,PELLE D'OCA,Vegas Jones,318331,https://open.spotify.com/track/3SjNwo6aHnvKx8yeSXxTmT,2018,12,7BIoYqwZlcKosZr1ceAhuV
132,La stella più fragile dell'universo,Ultimo,317985,https://open.spotify.com/track/3iHqUSg0LBRxAF5CzjBK9y,2018,12,3iHqUSg0LBRxAF5CzjBK9y
133,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,317404,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ,2018,12,2OQ6a4CfUeYskpTTgyawyJ
134,Trova un modo,Alessandra Amoroso,315011,https://open.spotify.com/track/2OhD2CM731aBTpRACnAM4q,2018,12,2OhD2CM731aBTpRACnAM4q
135,SICKO MODE,Travis Scott,313689,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018,12,2xLMifQCjDGFmkHkpNLD9h
136,Purple Rain (feat. Gemitaiz & Frenetik&Orang3),Achille Lauro,309712,https://open.spotify.com/track/0PpB4YTfszDRmQxLirA4pM,2018,12,286i6Yq99ALCLHXDofuTVL
137,Winter Wonderland,Leona Lewis,309013,https://open.spotify.com/track/1YBItUnKj01KBXhpFtvINp,2018,12,2IuUMx3uxxJAHcH41aYtn0
138,Santa Baby,Kylie Minogue,305313,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz,2018,12,1vZKP9XURuqMp1SpXGnoyb
139,Christmas Time,Backstreet Boys,305125,https://open.spotify.com/track/5x37oQPX5730aqxlvXT2qa,2018,12,299lFlaAsNQdgbIZNPmIA0
140,Da zero a cento,Baby K,304399,https://open.spotify.com/track/1ZF1hdW5COHbgqG9MSdSuU,2018,12,1ZF1hdW5COHbgqG9MSdSuU
141,Sciroppo (feat. DrefGold),Sfera Ebbasta,303866,https://open.spotify.com/track/4VVG3HBGaqSNZqIpmewIA6,2018,12,6CxN2UG4gvo4GEVw5VZYv5
142,2% (feat. Frah Quintale),Guè Pequeno,300920,https://open.spotify.com/track/5ODlTG5qxhCsC05E36Rv25,2018,12,5ODlTG5qxhCsC05E36Rv25
143,High Hopes,Panic! At The Disco,299942,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2018,12,1rqqCSm0Qe4I9rUvWncaom
144,My Only Wish (This Year),Britney Spears,298709,https://open.spotify.com/track/1UQbxSOVbauPxaUh337GTx,2018,12,0YWUHZPJVg4iujddsJDwhM
145,Cupido (with Khea & Duki feat. Quavo & Elettra Lamborghini) - RMX,Sfera Ebbasta,298404,https://open.spotify.com/track/10CEiNq9vx9UH9mXQkG6H6,2018,12,10CEiNq9vx9UH9mXQkG6H6
146,Somebody To Love - Remastered 2011,Queen,297126,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,2018,12,6cFZ4PLC19taNlpl9pbGMf
147,Christmas Isn't Christmas 'Til You Get Here,Kylie Minogue,297068,https://open.spotify.com/track/5HEoFTnu7lSHRAVc2PYln5,2018,12,5HEoFTnu7lSHRAVc2PYln5
