Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy,Loudness,Key,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Time_Signature
45,Bohemian Rhapsody - Remastered 2011,Queen,624077,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2018,12,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0.228,-9.961,0,0,0.0536,0.288,0.0,0.243,143.883,4
46,D'estate non vale (feat. Ana Mena),Fred De Palma,613352,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy,2018,12,5IbiQAbMBe5T2K67mCAIx3,0.661,0.765,0.723,-6.015,2,1,0.16,0.0867,0.0,0.0858,180.008,4
47,Uh Ah Hey,Sfera Ebbasta,595754,https://open.spotify.com/track/2zsJ7dZdvtmUBDOuRSqQ5h,2018,12,2zsJ7dZdvtmUBDOuRSqQ5h,0.847,0.552,0.579,-6.614,8,1,0.066,0.154,1.29e-06,0.107,144.991,4
48,Underneath the Tree,Kelly Clarkson,588535,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,2018,12,3YZE5qDV7u1ZD1gZc47ZeR,0.509,0.812,0.689,-5.439,8,1,0.0537,0.00128,1.99e-05,0.214,159.878,4
49,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,585130,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018,12,2LskIZrCeLxRvCiGP8gxlh,0.703,0.723,0.288,-5.45,9,0,0.0412,0.0302,2.06e-06,0.126,104.969,4
50,Calma - Remix,Pedro Capó,582831,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2018,12,5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,0.761,-4.218,11,0,0.0524,0.323,0.0,0.143,126.899,4
51,Rollercoaster,Emis Killa,572568,https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf,2018,12,5L95vS64rG1YMIFm1hLjyZ,0.421,0.79,0.279,-6.227,10,1,0.0538,0.00205,0.000309,0.148,162.024,4
52,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,559708,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM,2018,12,4kKdvXD0ez7jp1296JmAts,0.652,0.259,0.836,-13.336,2,1,0.0595,0.903,0.0,0.362,142.169,4
53,Mistletoe,Justin Bieber,552510,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,2018,12,7xapw9Oy21WpfEcib2ErSA,0.657,0.56,0.854,-9.049,6,0,0.0467,0.498,0.0,0.0794,161.993,4
54,Jingle Bell Rock,Bobby Helms,551960,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,2018,12,7vQbuQcyTflfCIOu3Uzzya,0.754,0.424,0.806,-8.463,2,1,0.0363,0.643,0.0,0.0652,119.705,4
55,Tutto tua madre,J-AX,548789,https://open.spotify.com/track/1PahySwtcIaiG7GUnCy9tx,2018,12,1PahySwtcIaiG7GUnCy9tx,0.582,0.741,0.226,-6.264,0,1,0.0678,0.128,0.0,0.343,128.219,4
56,NewJeans,Capo Plaza,545351,https://open.spotify.com/track/1C8KgGduDWKvwbFiqARcFq,2018,12,1C8KgGduDWKvwbFiqARcFq,0.642,0.84,0.802,-5.047,1,0,0.0556,0.0637,0.0,0.309,159.938,4
57,DISPOVERY CHANNEL (feat. Nitro),Salmo,539406,https://open.spotify.com/track/77F0NNChJGfDBp3fTCWaDc,2018,12,77F0NNChJGfDBp3fTCWaDc,0.852,0.816,0.531,-7.276,11,0,0.23,0.127,3.24e-05,0.245,140.061,4
58,Billets (feat. Ninho),Capo Plaza,535639,https://open.spotify.com/track/2aD5ESGyEhXnXdoOsZvsR0,2018,12,2aD5ESGyEhXnXdoOsZvsR0,0.732,0.791,0.609,-5.642,1,1,0.191,0.298,0.0,0.175,123.101,4
59,Uno squillo,Capo Plaza,520081,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN,2018,12,7zivIUyCw9MmYftdcayXnN,0.801,0.724,0.679,-5.038,1,0,0.397,0.0586,0.0,0.0736,98.97,4
60,New York,Thegiornalisti,514685,https://open.spotify.com/track/1nhEQjgj0NrtAoDuFEhMEL,2018,12,6yjKlmm7vOszkXEUku1EM1,0.506,0.373,0.195,-9.473,0,1,0.0347,0.495,3.72e-05,0.324,121.268,4
61,Girls Like You (feat. Cardi B),Maroon 5,509949,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018,12,6V1bu6o1Yo5ZXnsCJU8Ovk,0.851,0.541,0.448,-6.825,0,1,0.0505,0.568,0.0,0.13,124.959,4
62,Il ballo delle incertezze,Ultimo,497224,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu,2018,12,0Wq6iAraiUpSbBSPmv4gLu,0.654,0.76,0.413,-5.058,3,1,0.185,0.445,0.0,0.0548,144.098,4
63,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,493522,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,2018,12,27RYrbL6S02LNVhDWVl38b,0.321,0.64,0.414,-10.023,2,1,0.0324,0.28,0.0,0.718,146.172,3
64,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,491129,https://open.spotify.com/track/2bzitsPcImYC6DZWvvLCQi,2018,12,2bzitsPcImYC6DZWvvLCQi,0.634,0.662,0.244,-7.543,6,1,0.0325,0.000479,0.00142,0.111,90.011,4
65,Sleigh Ride,The Ronettes,487575,https://open.spotify.com/track/5ASM6Qjiav2xPe7gRkQMsQ,2018,12,5ASM6Qjiav2xPe7gRkQMsQ,0.529,0.772,0.853,-7.013,2,1,0.0287,0.403,2.21e-06,0.316,91.751,4
66,Malibu,Vegas Jones,487515,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw,2018,12,1UZOjK1BwmwWU14Erba9CZ,0.573,0.781,0.343,-6.406,8,1,0.0555,0.0767,2.64e-05,0.0813,139.934,4
67,Morirò da Re,Måneskin,479243,https://open.spotify.com/track/1aX0Ki80LFzzhqxqRlqbAV,2018,12,1aX0Ki80LFzzhqxqRlqbAV,0.605,0.881,0.928,-2.563,10,1,0.153,0.123,0.0,0.038,193.788,4
68,7/8 Sour,MadMan,477512,https://open.spotify.com/track/3pTlhegZkebcfjrFscPShg,2018,12,02jxUVBnihub7LKkcjadFI,0.929,0.712,0.257,-3.874,0,0,0.144,0.0782,0.0,0.0835,132.117,4
69,Trap Phone (feat. Capo Plaza),Guè Pequeno,470576,https://open.spotify.com/track/4dcMymOM4uDaH0NrwdktgN,2018,12,4dcMymOM4uDaH0NrwdktgN,0.749,0.664,0.248,-5.414,1,0,0.0591,0.11,0.0,0.296,118.032,4
70,"thank u, next",Ariana Grande,470041,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2018,12,3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,0.412,-5.634,1,1,0.0658,0.229,0.0,0.101,106.966,4
71,Coupé,Capo Plaza,465326,https://open.spotify.com/track/0X6TgBHcxe20tNvWuwXEpn,2018,12,2UslPu1Jo7jIiUchu9QvPv,0.842,0.535,0.713,-8.473,9,1,0.461,0.168,1.02e-06,0.0927,76.983,4
72,Nera,Irama,449192,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX,2018,12,3ZsWgbviZR93GPJIlxuaAG,0.33,0.678,0.463,-7.093,11,1,0.0412,0.593,0.000145,0.0758,90.015,4
73,Fotografia (feat. Francesca Michielin & Fabri Fibra),Carl Brave,444968,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu,2018,12,3fw3W15QK6a9UxJGgndtYu,0.707,0.539,0.423,-5.321,0,0,0.169,0.0438,0.0,0.0959,167.125,4
74,Ella Quiere Beber - Remix,Anuel AA,443239,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2018,12,3f5lA8nnc4YYF1qf78WpHw,0.75,0.665,0.697,-3.083,8,1,0.124,0.265,0.0,0.0515,95.239,4
75,Rockin' Around The Christmas Tree,Brenda Lee,442856,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2018,12,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,0.898,-8.749,8,1,0.0502,0.614,0.0,0.505,67.196,4
76,Guarda Come Flexo 2,MamboLosco,442565,https://open.spotify.com/track/6PX2GtCt8YJzOQ4ulJM41k,2018,12,4N6ofOnUS1w7XObOthDELW,0.849,0.529,0.442,-8.71,1,1,0.0681,0.0728,7.74e-05,0.0628,140.044,4
77,What Christmas Means to Me (feat. Stevie Wonder),John Legend,439945,https://open.spotify.com/track/6JUnflvdkYvbzsp6zWpaCZ,2018,12,13XMz3rpVYITzjFIsSYlZ1,0.567,0.828,0.845,-4.513,10,1,0.0819,0.21,0.0,0.0928,170.055,4
78,Fame,Nayt,437512,https://open.spotify.com/track/3WQJd5uYQ40Qlol1Q8pIpe,2018,12,1PehfITh0TTRx3LkDdV4h3,0.786,0.555,0.673,-10.276,10,1,0.0471,0.454,0.0173,0.0826,95.1,4
79,Ne è valsa la pena (feat. Ghali),Capo Plaza,436552,https://open.spotify.com/track/6GTCOWvhjvdk4pwlfrSjNO,2018,12,6GTCOWvhjvdk4pwlfrSjNO,0.593,0.654,0.405,-4.509,5,0,0.218,0.115,0.0,0.231,120.388,5
80,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,436142,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD,2018,12,1SV1fxF65n9NhRHp3KlBuu,0.774,0.511,0.771,-8.914,11,1,0.0319,0.322,0.0,0.0672,94.736,4
81,Te Boté - Remix,Nio Garcia,435937,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2018,12,3V8UKqhEK5zBkBb6d6ub8i,0.903,0.675,0.442,-3.445,11,0,0.214,0.542,1.28e-05,0.0595,96.507,4
82,Cupido (feat. Quavo),Sfera Ebbasta,429000,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy,2018,12,5IB44qTngIOBGYnjGZgz16,0.803,0.695,0.458,-5.164,4,0,0.0413,0.0622,0.0,0.105,119.978,4
83,Shallow,Lady Gaga,428576,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018,12,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,0.323,-6.362,7,1,0.0308,0.371,0.0,0.231,95.799,4
84,Un domani (feat. Mr.Rain),Annalisa,426937,https://open.spotify.com/track/5ZUbSBnGDbmBGcH2l1575M,2018,12,5ZUbSBnGDbmBGcH2l1575M,0.745,0.832,0.839,-5.248,7,1,0.0906,0.226,0.0,0.118,135.007,4
85,Porto Cervo,Lazza,421313,https://open.spotify.com/track/0TAt3c8KXb1D3sWT8ENar8,2018,12,0TAt3c8KXb1D3sWT8ENar8,0.855,0.666,0.758,-4.581,10,0,0.104,0.2,0.0,0.0885,100.006,4
86,Felicità puttana,Thegiornalisti,419292,https://open.spotify.com/track/695AOnYHYnvHIMaTNKjkA5,2018,12,695AOnYHYnvHIMaTNKjkA5,0.692,0.856,0.686,-4.816,0,1,0.127,0.00763,1.89e-05,0.305,93.975,4
87,Peace & Love,Charlie Charles,413169,https://open.spotify.com/track/4BGmYEDOK1swwoxTtfmVZD,2018,12,3Owfp723o5on470xzKIR0v,0.102,0.124,0.0377,-26.539,8,0,0.0428,0.771,0.876,0.146,78.867,4
88,Promises (with Sam Smith),Calvin Harris,412781,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018,12,5N5k9nd479b1xpDZ4usjrg,0.781,0.768,0.486,-5.991,11,1,0.0394,0.0119,4.91e-06,0.325,123.07,4
89,"Christmas Medley: Jingle Bells Rock / Let It Snow, Let It Snow, Let It Snow / It's The Most Wonderful Time Of The Year",Il Volo,409252,https://open.spotify.com/track/7o8OevWP4oIwCQyWuWZblH,2018,12,1wf7s1w61AvG1813uj1hrZ,0.629,0.516,0.664,-5.846,2,1,0.0279,0.629,0.0,0.245,130.399,4
90,It's the Most Wonderful Time of the Year,Andy Williams,408389,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,2018,12,5hslUAKq9I9CG2bAulFkHN,0.24,0.598,0.776,-8.435,7,1,0.0369,0.766,0.0,0.117,201.629,3
91,Feliz Navidad,José Feliciano,406770,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,2018,12,0oPdaY4dXtc3ZsaG17V972,0.513,0.831,0.963,-9.004,2,1,0.0383,0.55,0.0,0.336,148.837,4
92,PXM,Salmo,405985,https://open.spotify.com/track/6Jv6R1QvVm2CuCbqLi1nAT,2018,12,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,0.965,-5.849,5,0,0.0292,0.145,0.115,0.0956,127.975,4
93,Sopra,Gazzelle,403397,https://open.spotify.com/track/3Cbaa4ZmODhKEGSkMsbkOO,2018,12,5d5hgQCHyzkPrxWejb69St,0.763,0.487,0.21,-5.956,0,0,0.264,0.0335,0.0,0.118,135.904,4
94,ORA CHE FAI?,Salmo,402212,https://open.spotify.com/track/3ibnXjXTxiQQVJsoCffeo3,2018,12,3ibnXjXTxiQQVJsoCffeo3,0.707,0.732,0.663,-7.646,1,1,0.132,0.0274,0.0,0.214,157.977,4
95,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,401243,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee,2018,12,6s2wpWPFPAgKg2LXxi1Oee,0.357,0.668,0.407,-8.444,0,1,0.0479,0.362,1.37e-06,0.727,139.986,4
96,Borsello (feat. Sfera Ebbasta & DrefGold),Guè Pequeno,398925,https://open.spotify.com/track/31wSmTMwl9CIr1RQds2Tvy,2018,12,31wSmTMwl9CIr1RQds2Tvy,0.77,0.584,0.625,-7.453,2,0,0.226,0.36,0.0,0.208,154.028,4
97,Keanu Reeves (feat. Achille Lauro),Gemitaiz,398830,https://open.spotify.com/track/1MGXWglFoINJdrcp2W0U0w,2018,12,1MGXWglFoINJdrcp2W0U0w,0.811,0.59,0.166,-7.794,4,1,0.0437,0.0267,9.93e-06,0.111,102.709,4
98,La musica non c'è,Coez,395508,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x,2018,12,7MMJa7cjMadOSR6CFWvB1x,0.747,0.498,0.53,-6.674,0,1,0.0353,0.381,0.0,0.712,135.919,4
99,Moonlight,XXXTENTACION,394387,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2018,12,0JP9xo3adEtGSdUEISiszL,0.921,0.537,0.711,-5.723,9,0,0.0804,0.556,0.00404,0.102,128.009,4
100,Non Abbiamo Età,Luche,391525,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3,2018,12,0NwuXciw6eQc4edjwSBnV3,0.372,0.689,0.191,-4.711,6,1,0.243,0.0522,0.0,0.154,193.259,4
101,"Bella Giornata (prod. Dogslife, Mago del blocco) (feat. Dogslife & Mago del Blocco)",OG Eastbull,388354,https://open.spotify.com/track/76xea5TfeyVu8c4dGWpFD2,2018,12,76xea5TfeyVu8c4dGWpFD2,0.744,0.68,0.801,-4.98,7,1,0.332,0.627,4.44e-06,0.117,132.013,4
102,Sogni appesi,Ultimo,387279,https://open.spotify.com/track/2HgBmx6tfhRO417ahshpeQ,2018,12,2HgBmx6tfhRO417ahshpeQ,0.732,0.428,0.639,-9.654,9,1,0.119,0.904,0.0,0.137,127.413,4
103,RATATA,Capo Plaza,386498,https://open.spotify.com/track/3QjM7blH1a157YfP8G33TA,2018,12,3HG3QFERdP3Q1b6VGahwWs,0.71,0.808,0.698,-4.877,6,0,0.0418,0.27,0.0,0.208,101.784,4
104,Ti dedico il silenzio,Ultimo,384337,https://open.spotify.com/track/6GLmGfALwjzCaOiHwgfU7g,2018,12,6GLmGfALwjzCaOiHwgfU7g,0.661,0.443,0.147,-9.303,8,1,0.0688,0.175,0.0,0.177,80.0,4
